,covid_hospital_admissions_per_100k,covid_cases_per_100k,doses_per_100k,case_rate_per_100k,death_rate_per_100k,clusters,cluster
332,3.9,72.41,215187.0,29613.0,408.0,2,dark purple
333,4.4,8.29,215187.0,29613.0,408.0,2,dark purple
334,17.3,65.65,215187.0,29613.0,408.0,2,dark purple
335,2.6,32.39,215187.0,29613.0,408.0,2,dark purple
336,2.6,36.31,215187.0,29613.0,408.0,2,dark purple
337,6.9,33.43,215187.0,29613.0,408.0,2,dark purple
338,3.6,32.54,215187.0,29613.0,408.0,2,dark purple
339,2.7,37.64,215187.0,29613.0,408.0,2,dark purple
340,2.4,86.7,215187.0,29613.0,408.0,2,dark purple
341,1.0,17.24,215187.0,29613.0,408.0,2,dark purple
342,4.4,32.76,215187.0,29613.0,408.0,2,dark purple
343,2.4,40.09,215187.0,29613.0,408.0,2,dark purple
344,6.5,116.55,215187.0,29613.0,408.0,2,dark purple
345,3.9,31.89,215187.0,29613.0,408.0,2,dark purple
346,3.6,15.23,215187.0,29613.0,408.0,2,dark purple
347,0.8,49.32,215187.0,29613.0,408.0,2,dark purple
348,0.8,27.3,215187.0,29613.0,408.0,2,dark purple
349,3.6,0.0,215187.0,29613.0,408.0,2,dark purple
350,3.6,15.11,215187.0,29613.0,408.0,2,dark purple
351,13.8,46.49,215187.0,29613.0,408.0,2,dark purple
352,6.9,31.43,215187.0,29613.0,408.0,2,dark purple
353,2.9,130.39,215187.0,29613.0,408.0,2,dark purple
354,3.9,33.43,215187.0,29613.0,408.0,2,dark purple
355,7.9,45.56,215187.0,29613.0,408.0,2,dark purple
356,1.0,17.62,215187.0,29613.0,408.0,2,dark purple
357,13.8,63.69,215187.0,29613.0,408.0,2,dark purple
358,2.6,20.56,215187.0,29613.0,408.0,2,dark purple
359,1.0,0.0,215187.0,29613.0,408.0,2,dark purple
360,13.8,71.06,215187.0,29613.0,408.0,2,dark purple
361,2.7,31.81,215187.0,29613.0,408.0,2,dark purple
362,6.5,114.44,215187.0,29613.0,408.0,2,dark purple
363,2.4,155.0,215187.0,29613.0,408.0,2,dark purple
364,2.7,29.77,215187.0,29613.0,408.0,2,dark purple
365,2.7,9.65,215187.0,29613.0,408.0,2,dark purple
366,2.6,25.61,215187.0,29613.0,408.0,2,dark purple
367,7.9,41.78,215187.0,29613.0,408.0,2,dark purple
